src_id,dst_id,relation_type
213,223,cc_num
223,213,cc_num
213,271,cc_num
271,213,cc_num
217,294,cc_num
294,217,cc_num
231,255,cc_num
255,231,cc_num
235,245,cc_num
245,235,cc_num
243,249,cc_num
249,243,cc_num
251,257,cc_num
257,251,cc_num
201,213,merchant
213,201,merchant
202,280,merchant
280,202,merchant
203,247,merchant
247,203,merchant
210,295,merchant
295,210,merchant
223,238,merchant
238,223,merchant
223,254,merchant
254,223,merchant
227,271,merchant
271,227,merchant
231,233,merchant
233,231,merchant
264,281,merchant
281,264,merchant
