src_id,dst_id,relation_type
305,341,cc_num
341,305,cc_num
305,393,cc_num
393,305,cc_num
306,317,cc_num
317,306,cc_num
316,353,cc_num
353,316,cc_num
316,399,cc_num
399,316,cc_num
332,335,cc_num
335,332,cc_num
337,363,cc_num
363,337,cc_num
340,371,cc_num
371,340,cc_num
377,396,cc_num
396,377,cc_num
304,386,merchant
386,304,merchant
306,366,merchant
366,306,merchant
308,345,merchant
345,308,merchant
311,350,merchant
350,311,merchant
311,362,merchant
362,311,merchant
312,338,merchant
338,312,merchant
323,353,merchant
353,323,merchant
325,326,merchant
326,325,merchant
327,372,merchant
372,327,merchant
332,376,merchant
376,332,merchant
335,360,merchant
360,335,merchant
335,398,merchant
398,335,merchant
337,370,merchant
370,337,merchant
349,352,merchant
352,349,merchant
394,399,merchant
399,394,merchant
